# For a description of the format of this file, see $WCSIM_SOURCE_DIR/doc/PMTPositionTableFormat.md

#DATASTART
4 80 0 -1358.80000000 3259.38000000 -710.00000000 0.258819 -0.965926 0.00000000 0 1
4 81 0 -2143.30000000 2806.44000000 -710.00000000 0.707107 -0.707107 0.00000000 0 1
4 82 0 -2806.44000000 2143.30000000 -710.00000000 0.707107 -0.707107 0.00000000 0 1
4 83 0 -3259.38000000 1358.80000000 -710.00000000 0.965926 -0.258819 0.00000000 0 1
4 84 0 -3502.10000000 452.93300000 -710.00000000 0.965926 -0.258819 0.00000000 0 1
4 85 0 -3502.10000000 -452.93300000 -710.00000000 0.965926 0.258819 0.00000000 0 1
4 86 0 -3259.38000000 -1358.80000000 -710.00000000 0.965926 0.258819 0.00000000 0 1
4 87 0 -2806.44000000 -2143.30000000 -710.00000000 0.707107 0.707107 0.00000000 0 1
4 88 0 -2143.30000000 -2806.44000000 -710.00000000 0.707107 0.707107 0.00000000 0 1
4 89 0 -1358.80000000 -3259.38000000 -710.00000000 0.258819 0.965926 0.00000000 0 1
4 90 0 -452.93300000 -3502.10000000 -710.00000000 0.258819 0.965926 0.00000000 0 1
4 91 0 452.93300000 -3502.10000000 -710.00000000 -0.258819 0.965926 0.00000000 0 1
4 92 0 1358.80000000 -3259.38000000 -710.00000000 -0.258819 0.965926 0.00000000 0 1
4 93 0 2143.30000000 -2806.44000000 -710.00000000 -0.707107 0.707107 0.00000000 0 1
4 94 0 2806.44000000 -2143.30000000 -710.00000000 -0.707107 0.707107 0.00000000 0 1
4 95 0 3259.38000000 -1358.80000000 -710.00000000 -0.965926 0.258819 0.00000000 0 1
4 96 0 3502.10000000 -452.93300000 -710.00000000 -0.965926 0.258819 0.00000000 0 1
4 97 0 3502.10000000 452.93300000 0.00000000 -0.965926 -0.258819 0.00000000 0 1
4 98 0 3259.38000000 1358.80000000 0.00000000 -0.965926 -0.258819 0.00000000 0 1
4 99 0 2806.44000000 2143.30000000 0.00000000 -0.707107 -0.707107 0.00000000 0 1
4 100 0 2143.30000000 2806.44000000 0.00000000 -0.707107 -0.707107 0.00000000 0 1
4 101 0 1358.80000000 3259.38000000 0.00000000 -0.258819 -0.965926 0.00000000 0 1
4 102 0 452.93300000 3502.10000000 0.00000000 -0.258819 -0.965926 0.00000000 0 1
4 103 0 -452.93300000 3502.10000000 0.00000000 0.258819 -0.965926 0.00000000 0 1
4 104 0 -1358.80000000 3259.38000000 0.00000000 0.258819 -0.965926 0.00000000 0 1
4 105 0 -2143.30000000 2806.44000000 0.00000000 0.707107 -0.707107 0.00000000 0 1
4 106 0 -2806.44000000 2143.30000000 0.00000000 0.707107 -0.707107 0.00000000 0 1
4 107 0 -3259.38000000 1358.80000000 0.00000000 0.965926 -0.258819 0.00000000 0 1
4 108 0 -3502.10000000 452.93300000 0.00000000 0.965926 -0.258819 0.00000000 0 1
4 109 0 -3502.10000000 -452.93300000 0.00000000 0.965926 0.258819 0.00000000 0 1
4 110 0 -3259.38000000 -1358.80000000 0.00000000 0.965926 0.258819 0.00000000 0 1
4 111 0 -2806.44000000 -2143.30000000 0.00000000 0.707107 0.707107 0.00000000 0 1
4 112 0 -2143.30000000 -2806.44000000 0.00000000 0.707107 0.707107 0.00000000 0 1
4 113 0 -1358.80000000 -3259.38000000 0.00000000 0.258819 0.965926 0.00000000 0 1
4 114 0 -452.93300000 -3502.10000000 0.00000000 0.258819 0.965926 0.00000000 0 1
4 115 0 452.93300000 -3502.10000000 0.00000000 -0.258819 0.965926 0.00000000 0 1
4 116 0 1358.80000000 -3259.38000000 0.00000000 -0.258819 0.965926 0.00000000 0 1
4 117 0 2143.30000000 -2806.44000000 0.00000000 -0.707107 0.707107 0.00000000 0 1
4 118 0 2806.44000000 -2143.30000000 0.00000000 -0.707107 0.707107 0.00000000 0 1
4 119 0 3259.38000000 -1358.80000000 0.00000000 -0.965926 0.258819 0.00000000 0 1
4 120 0 3502.10000000 -452.93300000 0.00000000 -0.965926 0.258819 0.00000000 0 1
