# For a description of the format of this file, see $WCSIM_SOURCE_DIR/doc/PMTPositionTableFormat.md

#DATASTART
1 214 10 -3041.26626588 2221.02239971 2485.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 215 10 -3444.09495346 1523.30264607 2485.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 216 10 -3744.32504578 402.82868758 2485.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 217 10 -3744.32504578 -402.82868758 2485.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 218 10 -3444.09495346 -1523.30264607 2485.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 219 10 -3041.26626588 -2221.02239971 2485.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 220 10 -2221.02239971 -3041.26626588 2485.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 221 10 -1523.30264607 -3444.09495346 2485.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 222 10 -402.82868758 -3744.32504578 2485.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 223 10 402.82868758 -3744.32504578 2485.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 224 10 1523.30264607 -3444.09495346 2485.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 225 10 2221.02239971 -3041.26626588 2485.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 226 10 3041.26626588 -2221.02239971 2485.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 227 10 3444.09495346 -1523.30264607 2485.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 228 10 3744.32504578 -402.82868758 2485.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 229 10 3744.32504578 402.82868758 3195.00000000 0.96592583 0.25881905 0.00000000 0 1
1 230 10 3444.09495346 1523.30264607 3195.00000000 0.96592583 0.25881905 0.00000000 0 1
1 231 10 3041.26626588 2221.02239971 3195.00000000 0.70710678 0.70710678 0.00000000 0 1
1 232 10 2221.02239971 3041.26626588 3195.00000000 0.70710678 0.70710678 0.00000000 0 1
1 233 10 1523.30264607 3444.09495346 3195.00000000 0.25881905 0.96592583 0.00000000 0 1
1 234 10 402.82868758 3744.32504578 3195.00000000 0.25881905 0.96592583 0.00000000 0 1
1 235 10 -402.82868758 3744.32504578 3195.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 236 10 -1523.30264607 3444.09495346 3195.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 237 10 -2221.02239971 3041.26626588 3195.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 238 10 -3041.26626588 2221.02239971 3195.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 239 10 -3444.09495346 1523.30264607 3195.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 240 10 -3744.32504578 402.82868758 3195.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 241 10 -3744.32504578 -402.82868758 3195.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 242 10 -3444.09495346 -1523.30264607 3195.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 243 10 -3041.26626588 -2221.02239971 3195.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 244 10 -2221.02239971 -3041.26626588 3195.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 245 10 -1523.30264607 -3444.09495346 3195.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 246 10 -402.82868758 -3744.32504578 3195.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 247 10 402.82868758 -3744.32504578 3195.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 248 10 1523.30264607 -3444.09495346 3195.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 249 10 2221.02239971 -3041.26626588 3195.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 250 10 3041.26626588 -2221.02239971 3195.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 251 10 3444.09495346 -1523.30264607 3195.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 252 10 3744.32504578 -402.82868758 3195.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 253 10 3594.20999962 963.06566683 3550.00000000 0.96592583 0.25881905 0.00000000 0 1
1 254 10 2631.14433280 2631.14433280 3550.00000000 0.70710678 0.70710678 0.00000000 0 1
1 255 10 963.06566683 3594.20999962 3550.00000000 0.25881905 0.96592583 0.00000000 0 1
1 256 10 -963.06566683 3594.20999962 3550.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 257 10 -2631.14433280 2631.14433280 3550.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 258 10 -3594.20999962 963.06566683 3550.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 259 10 -3594.20999962 -963.06566683 3550.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 260 10 -2631.14433280 -2631.14433280 3550.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 261 10 -963.06566683 -3594.20999962 3550.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 262 10 963.06566683 -3594.20999962 3550.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 263 10 2631.14433280 -2631.14433280 3550.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 264 10 3594.20999962 -963.06566683 3550.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 265 11 -3200.00000000 -1200.00000000 4171.00000000 0.00000000 0.00000000 -1.00000000 0 0
1 266 11 -3200.00000000 -400.00000000 4171.00000000 0.00000000 0.00000000 -1.00000000 0 0
1 267 11 -3200.00000000 400.00000000 4171.00000000 0.00000000 0.00000000 -1.00000000 0 0
1 268 11 -3200.00000000 1200.00000000 4171.00000000 0.00000000 0.00000000 -1.00000000 0 0
1 269 11 -2800.00000000 -1600.00000000 4171.00000000 0.00000000 0.00000000 -1.00000000 0 1
1 270 11 -2800.00000000 -800.00000000 4171.00000000 0.00000000 0.00000000 -1.00000000 0 1
1 271 11 -2800.00000000 0.00000000 4171.00000000 0.00000000 0.00000000 -1.00000000 0 0
