PMT position table for custom PMT placement. The direction is just for reference but not used.
Type is used to specified which PMT to be placed in hybrid configuration
mPMTId will override the default numbering scheme
Section is: 0 = barrel, 1 = top cap, 2 = top border ring, 3 = bottom cap, 4 = bottom border ring

Type mPMTId Section  X(mm)  Y(mm)   Z(mm)          DirX         DirY        DirZ   Rotation(deg)  Use

#DATASTART
1 248 1 405 -405 4000 0 0 -1 0 1
1 249 1 405 405 4000 0 0 -1 0 1
1 250 1 405 1215 4000 0 0 -1 0 1
1 251 1 405 2025 4000 0 0 -1 0 1
1 252 1 405 2835 4000 0 0 -1 0 1
1 253 1 1215 -2025 4000 0 0 -1 0 1
1 254 1 1215 -1215 4000 0 0 -1 0 1
1 255 1 1215 -405 4000 0 0 -1 0 1
1 256 1 1215 405 4000 0 0 -1 0 1
1 257 1 1215 1215 4000 0 0 -1 0 1
1 258 1 1215 2025 4000 0 0 -1 0 1
1 259 1 2025 -1215 4000 0 0 -1 0 1
1 260 1 2025 -405 4000 0 0 -1 0 1
1 261 1 2025 405 4000 0 0 -1 0 1
1 262 1 2025 1215 4000 0 0 -1 0 1
1 263 1 2835 -405 4000 0 0 -1 0 1
1 264 1 2835 405 4000 0 0 -1 0 1
1 265 2 3500.66 341.408 3291.56 -0.980785 -0.19509 0 0 1
1 266 2 3364.84 1024.22 3291.56 -0.980785 -0.19509 0 0 1
1 267 2 3103.54 1655.06 3291.56 -0.83147 -0.55557 0 0 1
1 268 2 2716.75 2233.93 3291.56 -0.83147 -0.55557 0 0 1
1 269 2 2233.93 2716.75 3291.56 -0.55557 -0.83147 0 0 1
1 270 2 1655.06 3103.54 3291.56 -0.55557 -0.83147 0 0 1
1 271 2 1024.22 3364.84 3291.56 -0.19509 -0.980785 0 0 1
1 272 2 341.408 3500.66 3291.56 -0.19509 -0.980785 0 0 1
1 273 2 -341.408 3500.66 3291.56 0.19509 -0.980785 0 0 1
1 274 2 -1024.22 3364.84 3291.56 0.19509 -0.980785 0 0 1
1 275 2 -1655.06 3103.54 3291.56 0.55557 -0.83147 0 0 1
1 276 2 -2233.93 2716.75 3291.56 0.55557 -0.83147 0 0 1
1 277 2 -2716.75 2233.93 3291.56 0.83147 -0.55557 0 0 1
1 278 2 -3103.54 1655.06 3291.56 0.83147 -0.55557 0 0 1
1 279 2 -3364.84 1024.22 3291.56 0.980785 -0.19509 0 0 1
1 280 2 -3500.66 341.408 3291.56 0.980785 -0.19509 0 0 1
1 281 2 -3500.66 -341.408 3291.56 0.980785 0.19509 0 0 1
1 282 2 -3364.84 -1024.22 3291.56 0.980785 0.19509 0 0 1
1 283 2 -3103.54 -1655.06 3291.56 0.83147 0.55557 0 0 1
1 284 2 -2716.75 -2233.93 3291.56 0.83147 0.55557 0 0 1
1 285 2 -2233.93 -2716.75 3291.56 0.55557 0.83147 0 0 1
1 286 2 -1655.06 -3103.54 3291.56 0.55557 0.83147 0 0 1
1 287 2 -1024.22 -3364.84 3291.56 0.19509 0.980785 0 0 1
1 288 2 -341.408 -3500.66 3291.56 0.19509 0.980785 0 0 1
1 289 2 341.408 -3500.66 3291.56 -0.19509 0.980785 0 0 1
1 290 2 1024.22 -3364.84 3291.56 -0.19509 0.980785 0 0 1
1 291 2 1655.06 -3103.54 3291.56 -0.55557 0.83147 0 0 1
1 292 2 2233.93 -2716.75 3291.56 -0.55557 0.83147 0 0 1
1 293 2 2716.75 -2233.93 3291.56 -0.83147 0.55557 0 0 1
1 294 2 3103.54 -1655.06 3291.56 -0.83147 0.55557 0 0 1
1 295 2 3364.84 -1024.22 3291.56 -0.980785 0.19509 0 0 1
1 296 2 3500.66 -341.408 3291.56 -0.980785 0.19509 0 0 1
1 297 3 -2835 -405 -4000 0 0 1 0 1
1 298 3 -2835 405 -4000 0 0 1 0 1
